Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,32.799999,33.650002,32.630001,33.230000,30.918898,238700
2017-01-08,33.270000,33.860001,33.130001,33.630001,31.291086,104900
2017-01-15,33.790001,33.990002,33.549999,33.549999,31.216644,120400
2017-01-22,33.820000,35.150002,33.740002,34.700001,32.286663,383500
2017-01-29,34.849998,35.779999,34.680000,35.669998,33.189205,68300
2017-02-05,35.720001,36.430000,35.419998,36.279999,33.756775,348700
2017-02-12,36.009998,36.189999,35.209999,35.619999,33.142677,83300
2017-02-19,36.119999,36.400002,35.970001,36.049999,33.542770,36400
2017-02-26,36.070000,36.580002,35.830002,36.080002,33.570690,63300
2017-03-05,36.380001,36.619999,36.080002,36.540001,33.998695,64000
2017-03-12,37.200001,38.150002,37.119999,37.730000,35.105930,151300
2017-03-19,37.939999,38.320000,37.500000,37.790001,35.161762,84100
2017-03-26,37.759998,38.680000,37.680000,38.599998,35.915421,77100
2017-04-02,38.750000,39.320000,38.500000,39.240002,36.510914,78700
2017-04-09,39.310001,39.310001,38.720001,38.830002,36.129433,88500
2017-04-16,38.860001,39.200001,38.459999,38.860001,36.157345,66000
2017-04-23,39.189999,40.220001,39.060001,40.220001,37.422756,93000
2017-04-30,40.470001,40.700001,39.820000,40.119999,37.329708,184600
2017-05-07,40.090000,41.400002,39.759998,41.340000,38.464863,100000
2017-05-14,41.580002,41.720001,39.910000,40.580002,37.757717,126600
2017-05-21,40.529999,41.029999,39.930000,40.779999,37.943806,91900
2017-05-28,41.040001,42.110001,41.000000,42.060001,39.134785,102800
2017-06-04,42.459999,42.650002,42.070000,42.290001,39.348789,115200
2017-06-11,42.349998,42.900002,42.099998,42.320000,39.376709,75300
2017-06-18,42.630001,42.630001,41.709999,41.930000,39.013828,100800
2017-06-25,42.070000,42.200001,41.000000,41.700001,38.799828,104800
2017-07-02,42.000000,42.759998,42.000000,42.580002,39.618626,120500
2017-07-09,43.000000,43.650002,42.540001,43.450001,40.428120,156700
2017-07-16,43.450001,43.790001,43.200001,43.290001,40.279243,164100
2017-07-23,43.529999,43.799999,43.320000,43.639999,40.604904,86700
2017-07-30,43.750000,44.590000,43.529999,44.470001,41.377174,97100
2017-08-06,44.660000,44.990002,42.150002,42.299999,39.358093,185700
2017-08-13,42.779999,43.520000,42.720001,43.060001,40.065239,60600
2017-08-20,42.730000,43.009998,42.599998,42.959999,39.972195,57300
2017-08-27,43.299999,43.820000,42.799999,43.799999,40.753769,61200
2017-09-03,43.689999,44.180000,43.439999,43.880001,40.828205,46300
2017-09-10,44.099998,44.790001,44.099998,44.540001,41.442303,245400
2017-09-17,44.830002,44.950001,43.020000,43.119999,40.121063,584400
2017-09-24,42.930000,42.930000,41.410000,42.500000,39.544186,359300
2017-10-01,42.450001,43.259998,42.430000,43.110001,40.111759,116500
2017-10-08,43.320000,44.580002,43.160000,44.520000,41.423698,162000
2017-10-15,44.500000,44.750000,43.610001,44.009998,40.949169,202100
2017-10-22,44.099998,45.080002,43.860001,45.080002,41.944752,136400
2017-10-29,44.720001,46.209999,44.720001,45.860001,42.670502,71700
2017-11-05,46.439999,46.740002,45.689999,45.919998,42.726326,84900
2017-11-12,45.680000,46.540001,45.009998,46.360001,43.135727,84700
2017-11-19,46.330002,47.310001,46.130001,47.189999,43.908001,121800
2017-11-26,47.419998,47.860001,46.500000,46.709999,43.461388,188700
2017-12-03,47.240002,48.200001,46.509998,48.110001,44.764023,70700
2017-12-10,48.299999,48.580002,47.599998,48.299999,44.940804,79200
2017-12-17,48.849998,49.869999,48.570000,49.660000,46.231194,206400
2017-12-24,49.590000,50.150002,49.029999,49.619999,46.193951,114700
2017-12-31,50.000000,51.060001,49.730000,51.040001,47.515907,143200
2018-01-07,51.060001,51.060001,50.000000,50.750000,47.245930,267900
2018-01-14,50.000000,50.410000,49.400002,49.740002,46.305668,254200
2018-01-21,49.950001,50.279999,48.980000,49.139999,45.747097,419800
2018-01-28,49.349998,49.599998,46.509998,46.509998,43.298687,285600
2018-02-04,46.950001,47.180000,45.240002,46.689999,43.466259,241800
2018-02-11,47.340000,49.470001,46.509998,46.889999,43.652447,134600
2018-02-18,46.349998,46.639999,45.700001,46.610001,43.391781,131100
2018-02-25,47.020000,47.189999,45.509998,46.020000,42.842518,85600
2018-03-04,45.889999,46.200001,45.360001,46.020000,42.842518,130200
2018-03-11,46.020000,46.610001,45.389999,45.560001,42.414280,90600
2018-03-18,45.060001,45.410000,44.500000,44.570000,41.492638,93100
2018-03-25,45.779999,46.299999,45.500000,46.279999,43.084568,40700
2018-04-01,46.740002,47.790001,45.889999,47.369999,44.099304,68900
2018-04-08,47.910000,48.310001,47.580002,48.049999,44.732357,226800
2018-04-15,48.320000,48.810001,47.560001,47.740002,44.443764,80200
2018-04-22,48.040001,48.570000,47.110001,48.549999,45.197834,56900
2018-04-29,48.910000,48.980000,47.090000,47.650002,44.359974,48800
2018-05-06,47.500000,47.770000,46.799999,46.889999,43.652447,83400
2018-05-13,46.509998,47.279999,45.540001,46.119999,42.935612,121100
2018-05-20,45.299999,46.470001,45.180000,46.419998,43.214897,51900
2018-05-27,46.509998,47.430000,46.419998,47.430000,44.155163,20400
2018-06-03,47.060001,47.669998,46.389999,47.330002,44.062069,117700
2018-06-10,47.450001,47.740002,46.580002,46.630001,43.410400,69800
2018-06-17,46.549999,46.560001,46.130001,46.490002,43.280071,34600
2018-06-24,46.119999,46.470001,44.549999,45.840000,42.674946,48700
2018-07-01,45.580002,46.750000,45.369999,46.459999,43.252140,27100
2018-07-08,46.869999,47.020000,46.610001,46.650002,43.429020,36500
2018-07-15,46.040001,46.770000,45.509998,45.910000,42.740112,60600
2018-07-22,46.060001,46.880001,45.869999,46.790001,43.559349,27700
2018-07-29,47.110001,47.990002,46.910000,47.799999,44.499615,56800
2018-08-05,47.310001,47.680000,47.000000,47.000000,43.754852,56500
2018-08-12,46.549999,47.700001,45.439999,47.480000,44.201710,48000
2018-08-19,47.840000,48.000000,47.189999,47.900002,44.592712,48100
2018-08-26,47.900002,48.160000,47.150002,47.900002,44.592712,30900
2018-09-02,45.689999,45.990002,44.700001,45.270000,42.144302,82500
2018-09-09,44.500000,45.000000,42.910000,44.520000,41.446087,123000
2018-09-16,43.849998,44.410000,42.950001,43.009998,40.040344,49500
2018-09-23,41.849998,42.200001,40.970001,41.000000,38.169125,96600
2018-09-30,41.180000,41.180000,37.389999,37.650002,35.050434,161600
2018-10-07,37.599998,39.349998,37.000000,39.220001,36.512032,191200
2018-10-14,38.910000,39.820000,38.009998,38.549999,35.888287,70500
2018-10-21,38.400002,38.750000,37.820000,37.990002,35.366959,59500
2018-10-28,38.630001,40.889999,37.799999,40.459999,37.666409,41800
2018-11-04,40.380001,41.119999,39.840000,40.419998,37.629169,38300
2018-11-11,40.200001,41.770000,39.790001,41.660000,38.783554,44500
2018-11-18,41.770000,41.959999,41.000000,41.900002,39.006989,60300
2018-11-25,42.230000,43.770000,42.070000,43.650002,40.636158,36600
2018-12-02,43.540001,43.599998,41.230000,41.320000,38.467030,53600
2018-12-09,40.250000,43.279999,39.619999,43.110001,40.133438,170600
2018-12-16,43.459999,44.950001,43.169998,43.689999,40.673393,134600
2018-12-23,42.970001,44.689999,42.770000,44.410000,41.392704,43300
2018-12-30,44.160000,44.770000,42.799999,44.660000,41.625721,46400
2019-01-06,43.369999,44.570000,42.790001,42.880001,39.966656,54900
2019-01-13,42.750000,43.790001,42.180000,42.230000,39.360813,80700
2019-01-20,42.060001,42.060001,40.750000,40.990002,38.205070,45100
2019-01-27,40.200001,41.119999,39.970001,40.860001,38.083897,100900
2019-02-03,40.630001,42.040001,40.610001,40.840000,38.065258,55500
2019-02-10,40.840000,41.029999,39.650002,39.799999,37.095913,50000
2019-02-17,39.480000,40.540001,39.160000,40.430000,37.683113,50900
2019-02-24,40.759998,41.029999,40.480000,40.910000,38.130501,26800
2019-03-03,40.860001,42.000000,40.700001,41.380001,38.568569,49400
2019-03-10,42.310001,43.040001,42.220001,43.040001,40.115788,121700
2019-03-17,43.090000,43.430000,41.750000,41.830002,38.987995,33300
2019-03-24,41.779999,42.310001,41.650002,42.240002,39.370140,55100
2019-03-31,42.439999,42.799999,42.169998,42.290001,39.416740,150800
2019-04-07,41.889999,42.669998,41.700001,42.570000,39.677715,46500
2019-04-14,42.840000,43.410000,42.660000,42.990002,40.069183,45400
2019-04-21,42.299999,42.369999,41.290001,41.480000,38.661774,85900
2019-04-28,41.480000,41.720001,40.889999,41.299999,38.494003,89000
2019-05-05,40.439999,40.770000,39.160000,39.599998,36.909500,73400
2019-05-12,38.759998,40.040001,38.490002,39.889999,37.179802,51100
2019-05-19,41.430000,41.669998,40.509998,41.360001,38.549931,79200
2019-05-26,41.430000,41.650002,40.770000,41.230000,38.428757,55200
2019-06-02,41.900002,41.990002,41.220001,41.549999,38.727016,24200
2019-06-09,41.509998,41.779999,40.500000,40.549999,37.794960,35900
2019-06-16,40.330002,41.400002,40.099998,40.529999,37.776321,74600
2019-06-23,40.500000,41.310001,40.470001,41.180000,38.382156,36500
2019-06-30,41.459999,41.799999,40.990002,41.130001,38.335556,34100
2019-07-07,40.630001,40.689999,40.070000,40.150002,37.422138,34000
2019-07-14,40.209999,40.680000,39.020000,39.099998,36.443474,69700
2019-07-21,38.930000,39.340000,38.270000,39.009998,36.359585,174300
2019-07-28,38.590000,38.700001,37.580002,37.689999,35.129272,48500
2019-08-04,36.980000,38.259998,36.369999,38.169998,35.576660,79900
2019-08-11,37.619999,37.930000,36.669998,37.369999,34.831013,172000
2019-08-18,37.330002,37.509998,36.509998,36.750000,34.253139,210800
2019-08-25,37.009998,37.980000,37.009998,37.869999,35.297043,38100
2019-09-01,36.750000,37.680000,36.349998,37.549999,34.998783,27200
2019-09-08,37.790001,38.919998,37.560001,38.799999,36.163857,53600
2019-09-15,38.500000,41.150002,37.730000,40.750000,37.981373,92600
2019-09-22,41.910000,42.529999,41.040001,41.450001,38.633812,87800
2019-09-29,41.130001,41.439999,40.169998,40.299999,37.561947,37000
2019-10-06,40.290001,40.750000,39.740002,40.619999,37.860203,40000
2019-10-13,40.779999,42.799999,40.750000,42.740002,39.836166,84200
2019-10-20,42.680000,43.470001,42.650002,43.200001,40.264915,37200
2019-10-27,43.529999,44.560001,43.330002,44.419998,41.402023,49800
2019-11-03,44.060001,44.070000,42.930000,42.970001,40.050541,44200
2019-11-10,42.790001,42.910000,42.119999,42.430000,39.547226,29400
2019-11-17,41.970001,42.070000,41.560001,41.619999,38.792259,25200
2019-11-24,42.169998,43.000000,41.919998,41.930000,39.081200,20300
2019-12-01,41.750000,41.919998,41.209999,41.639999,38.810902,31200
2019-12-08,41.509998,42.340000,41.259998,42.180000,39.314217,39100
2019-12-15,41.840000,42.349998,41.790001,42.320000,39.444706,161600
2019-12-22,42.009998,42.330002,41.980000,42.130001,39.379272,34100
2019-12-29,42.509998,42.509998,41.599998,41.599998,38.883877,33300
2020-01-05,41.119999,42.669998,41.029999,42.619999,39.837280,52900
2020-01-12,42.689999,43.860001,42.599998,43.770000,40.912193,33400
2020-01-19,43.040001,43.599998,42.790001,43.369999,40.538311,37700
2020-01-26,42.959999,43.450001,41.980000,42.099998,39.351231,25300
2020-02-02,42.580002,43.540001,42.330002,42.889999,40.089649,90500
2020-02-09,42.709999,43.820000,42.430000,42.570000,39.790546,29100
2020-02-16,42.279999,42.799999,41.880001,41.970001,39.229721,28100
2020-02-23,40.980000,41.299999,38.509998,39.220001,36.659271,72700
2020-03-01,38.290001,39.560001,37.700001,37.910000,35.434803,75900
2020-03-08,36.520000,37.549999,30.940001,34.419998,32.172668,202900
2020-03-15,31.299999,33.389999,28.809999,28.959999,27.069160,127200
2020-03-22,27.770000,31.680000,26.160000,30.340000,28.359058,197500
2020-03-29,29.629999,31.320000,28.530001,28.570000,26.704624,74300
2020-04-05,29.430000,33.500000,29.410000,33.259998,31.088404,100900
2020-04-12,32.330002,33.299999,32.000000,33.000000,30.845385,44000
2020-04-19,32.650002,33.580002,31.379999,32.939999,30.789299,27100
2020-04-26,32.880001,34.520000,32.340000,32.669998,30.536926,36100
