Date,Open,High,Low,Close,Adj Close,Volume
2018-03-04,231.830002,233.389999,227.360001,232.800003,221.085190,7165200
2018-03-11,232.199997,232.729996,227.270004,228.110001,217.334183,8629200
2018-03-18,228.179993,230.910004,215.520004,215.630005,205.443726,6784800
2018-03-25,217.580002,223.720001,217.580002,219.699997,209.321487,6076600
2018-04-01,221.360001,231.309998,217.490005,224.779999,214.161484,8169800
2018-04-08,225.649994,227.759995,219.339996,222.020004,211.531891,7902100
2018-04-15,223.839996,231.910004,222.339996,226.070007,215.390549,6781800
2018-04-22,226.759995,245.800003,223.179993,239.149994,227.852631,13872700
2018-04-29,239.710007,241.330002,224.130005,233.179993,222.164673,7251800
2018-05-06,233.149994,233.639999,219.960007,232.050003,221.088043,7528100
2018-05-13,232.960007,234.690002,229.910004,231.869995,220.916534,5439400
2018-05-20,232.619995,235.070007,229.050003,232.389999,221.412003,3945300
2018-05-27,230.059998,232.449997,220.800003,221.500000,211.036469,5943400
2018-06-03,222.559998,230.500000,221.429993,228.300003,217.515228,6056500
2018-06-10,228.110001,245.660004,226.229996,245.160004,234.350128,9593300
2018-06-17,244.720001,246.820007,241.339996,244.820007,234.025131,6122000
2018-06-24,243.889999,245.449997,233.479996,238.029999,227.534500,6212200
2018-07-01,237.970001,242.800003,235.380005,242.149994,231.472794,2773400
2018-07-08,240.380005,252.410004,239.990005,250.509995,239.464203,6259900
2018-07-15,250.429993,250.429993,242.000000,248.520004,237.561966,5317800
2018-07-22,248.389999,251.179993,240.289993,249.479996,238.479645,6979600
2018-07-29,249.229996,258.589996,249.229996,257.950012,246.576141,5891800
2018-08-05,257.140015,263.239990,256.929993,260.040009,248.574020,3570000
2018-08-12,260.850006,268.040009,260.049988,263.950012,252.311615,4772200
2018-08-19,263.950012,266.000000,260.809998,265.380005,253.678589,3904500
2018-08-26,266.380005,268.130005,263.179993,264.730011,253.057220,4075800
2018-09-02,264.170013,273.140015,262.709991,271.899994,259.911102,6535800
2018-09-09,267.730011,272.260010,260.799988,270.779999,259.559082,6387000
2018-09-16,272.170013,276.000000,268.989990,272.519989,261.226929,7136400
2018-09-23,271.899994,274.690002,268.869995,274.049988,262.693512,4976700
2018-09-30,274.760010,278.109985,273.220001,275.920013,264.486084,3994800
2018-10-07,275.950012,280.429993,266.029999,271.410004,260.163025,7097500
2018-10-14,270.989990,283.059998,267.320007,279.149994,267.582184,5748900
2018-10-21,279.260010,280.510010,263.510010,265.750000,254.737488,7910300
2018-10-28,267.920013,279.649994,259.720001,268.000000,256.894287,10501000
2018-11-04,268.959991,290.839996,268.079987,287.059998,275.164490,7125800
2018-11-11,287.209991,288.940002,275.760010,286.329987,274.464722,6834200
2018-11-18,286.820007,287.859985,276.399994,280.739990,269.106323,4120800
2018-11-25,283.730011,294.410004,276.290009,290.070007,278.049652,7584400
2018-12-02,292.950012,300.570007,274.970001,280.529999,268.905029,8815200
2018-12-09,280.000000,282.970001,270.359985,275.579987,264.830627,7038400
2018-12-16,268.209991,271.429993,248.889999,251.960007,242.131958,11994600
2018-12-23,250.100006,263.079987,246.570007,259.079987,248.974228,5091800
